created,count
2014-12-21,1
2014-12-22,5
2014-12-24,2
2014-12-26,8
2015-01-02,1
2015-01-03,3
2015-01-04,2
2015-01-08,1
2015-01-09,5
2015-01-10,8
2015-01-11,5
2015-01-13,1
2015-01-20,1
2015-01-21,5
2015-01-26,1
2015-01-27,1
2015-01-28,3
2015-01-29,4
2015-02-11,1
2015-02-15,1
2015-02-19,2
2015-02-20,1
2015-02-21,4
2015-02-25,3
2015-02-26,5
2015-02-27,3
2015-02-28,3
2015-03-01,2
2015-03-04,2
2015-03-05,1
2015-03-12,1
2015-03-13,3
2015-03-15,1
2015-03-17,2
2015-03-19,2
2015-03-21,3
2015-03-22,1
2015-03-23,3
2015-03-24,1
2015-03-27,5
2015-03-30,6
2015-03-31,2
2015-04-01,3
2015-04-03,2
2015-04-04,4
2015-04-06,1
2015-04-08,6
2015-04-09,2
2015-04-10,2
2015-04-11,1
2015-04-20,1
2015-04-21,1
2015-04-22,1
2015-04-23,5
2015-04-24,6
2015-04-25,13
2015-04-26,4
2015-04-27,8
2015-04-29,1
2015-04-30,1
2015-05-01,4
2015-05-04,1
2015-05-05,6
2015-05-06,6
2015-05-10,3
2015-05-11,1
2015-05-12,8
2015-05-14,3
2015-05-16,11
2015-05-17,3
2015-05-18,15
2015-05-19,1
2015-05-20,3
2015-05-21,1
2015-05-22,1
2015-05-24,14
2015-05-25,11
2015-05-26,18
2015-05-27,3
2015-05-28,2
2015-05-29,1
2015-05-30,3
2015-06-02,3
2015-06-03,2
2015-06-04,8
2015-06-05,1
2015-06-11,6
2015-06-12,1
2015-06-15,2
2015-06-17,8
2015-06-18,3
2015-06-20,4
2015-06-21,3
2015-06-22,3
2015-06-27,2
2015-06-29,5
2015-06-30,5
2015-07-01,2
2015-07-02,2
2015-07-03,2
2015-07-06,2
2015-07-09,2
2015-07-10,2
2015-07-12,1
2015-07-14,6
2015-07-15,1
2015-07-16,2
2015-07-17,5
2015-07-21,3
2015-07-22,1
2015-07-29,1
2015-08-02,1
2015-08-03,1
2015-08-04,1
2015-08-05,1
2015-08-06,1
2015-08-08,1
2015-08-09,2
2015-08-10,1
2015-08-11,1
2015-08-12,2
2015-08-13,1
2015-08-14,2
2015-08-17,1
2015-08-19,2
2015-08-20,1
2015-08-21,2
2015-08-22,3
2015-08-23,3
2015-08-25,1
2015-08-26,5
2015-08-30,3
2015-09-01,1
2015-09-02,1
2015-09-09,1
2015-09-11,7
2015-09-14,3
2015-09-15,4
2015-09-16,7
2015-09-17,7
2015-09-18,10
2015-09-19,3
2015-09-20,6
2015-09-21,2
2015-09-22,1
2015-09-23,1
2015-09-24,1
2015-09-29,1
2015-09-30,3
2015-10-01,4
2015-10-05,3
2015-10-06,7
2015-10-07,4
2015-10-08,12
2015-10-10,7
2015-10-11,9
2015-10-12,5
2015-10-13,5
2015-10-14,19
2015-10-15,3
2015-10-16,6
2015-10-17,7
2015-10-18,5
2015-10-19,3
2015-10-20,1
